Year,Artist,Song,CompressedRatio
1973,deodato,also sprach zarathustra 2001,10.526
1974,mike oldfield,tubular bells,15.385
1967,sandy posey,i take it back,22.581
1971,judy collins,amazing grace,23.469
1976,henry gross,shannon,23.636
1976,wing and a prayer fife and drum corps,baby face,23.636
1988,u2,desire,24.59
1969,creedence clearwater revival,green river,24.603
1970,chicago,make me smile,24.771
1987,glass tiger,someday,25
1973,helen reddy,delta dawn,25.225
1978,debby boone,you light up my life,27
1983,jackson browne,lawyers in love,27.007
1966,david houston,almost persuaded,27.434
1989,michael damian,rock on,27.5
1975,barry manilow,could it be magic,28.866
1983,journey,faithfully,28.873
1979,gq,disco nights rockfreak,29.07
1970,dawn,candida,29.104
1966,new vaudeville band,winchester cathedral,29.333
1967,tommy james and the shondells,i think were alone now,30.208
1975,michael martin murphey,wildfire,30.909
1982,journey,open arms,30.909
1966,slim harpo,baby scratch my back,30.986
1971,isaac hayes,theme from shaft,31.461
1984,nena,99 luftballons,31.694
1978,george benson,on broadway,31.746
1973,the temptations,masterpiece,31.783
1967,the easybeats,friday on my mind,32
1973,bw stevenson,my maria,32.174
1980,ray goodman  brown,special lady,32.353
1967,lulu,to sir with love,32.394
1972,carly simon,anticipation,32.584
1978,raydio,jack and jill,32.609
1972,jackson browne,doctor my eyes,32.847
1996,natalie merchant,jealousy,32.979
1973,pink floyd,money,33.077
1976,dorothy moore,misty blue,33.333
1977,the brothers johnson,strawberry letter 23,33.333
1978,rod stewart,youre in my heart the final acclaim,33.632
1976,chicago,if you leave me now,33.708
1976,ohio players,love rollercoaster,33.742
1994,bonnie raitt,love sneakin up on you,33.813
1985,bruce springsteen,im on fire,34.314
1975,carol douglas,doctors orders,34.466
1974,the stylistics,rockin roll baby,34.483
2012,jason aldean,fly over states,34.483
1965,horst jankowski,a walk in the black forest,34.682
1970,bobby sherman,easy come easy go,34.694
1985,tears for fears,everybody wants to rule the world,34.722
1966,peter and gordon,lady godiva,34.911
1968,georgie fame,the ballad of bonnie and clyde,35.122
1971,bread,if,35.156
1972,donny osmond,puppy love,35.185
1980,commodores,still,35.2
1973,cher,halfbreed,35.252
1994,bruce springsteen,streets of philadelphia,35.374
1991,gerardo,rico suave,35.405
1987,prince,sign o the times,35.51
1982,lindsey buckingham,trouble,35.526
1974,tom t hall,i love,35.644
1965,hermans hermits,silhouettes,35.669
1972,derek and the dominos,layla,35.714
1967,jefferson airplane,white rabbit,36
1967,johnny rivers,baby i need your lovin,36.301
2005,gavin degraw,chariot,36.31
1967,lesley gore,california nights,36.552
1972,jonathan edwards,sunshine,36.585
1978,jay ferguson,thunder island,36.62
1969,glen campbell,galveston,36.792
1977,bay city rollers,you made me believe in magic,36.957
1972,ricky nelson,garden party,37
1972,beverly bremers,dont say you dont remember,37.008
1969,classics iv,traces,37.037
1979,nigel olsson,dancin shoes,37.079
1985,debarge,whos holding donna now,37.209
2005,gwen stefani,cool,37.226
1966,bj thomas,im so lonesome i could cry,37.255
1983,the greg kihn band,jeopardy,37.288
1970,anne murray,snowbird,37.349
1970,the jaggerz,the rapper,37.398
1998,dru hill,were not making love no more,37.912
1972,gilbert osullivan,alone again naturally,37.993
1974,chicago,ive been searchin so long,38.095
1970,chicago,25 or 6 to 4,38.144
1999,kenny chesney,how forever feels,38.15
1973,skylark,wildflower,38.182
1984,mike reno and ann wilson,almost paradise,38.182
1968,the lemon pipers,green tambourine,38.235
1974,elton john,dont let the sun go down on me,38.265
1971,the buoys,timothy,38.312
1984,john cafferty  the beaver brown band,on the dark side,38.372
1971,the beginning of the end,funky nassau,38.393
1981,bruce springsteen,hungry heart,38.525
1986,michael mcdonald,sweet freedom,38.547
1980,gary numan,cars,38.554
1969,tommy james and the shondells,crystal blue persuasion,38.583
1978,little river band,reminiscing,38.798
1977,barbra streisand,evergreen love theme from a star is born,38.849
1984,the police,wrapped around your finger,38.849
1968,the rascals,a beautiful morning,38.86
1967,aaron neville,tell it like it is,38.983
1979,dire straits,sultans of swing,39.08
1967,the hombres,let it out let it all hang out,39.153
1987,the pretenders,dont get me wrong,39.157
1967,the rolling stones,ruby tuesday,39.161
1978,atlanta rhythm section,imaginary lover,39.175
1967,procol harum,a whiter shade of pale,39.333
1969,joe south,games people play,39.367
1982,greg guidry,goin down,39.37
1975,freddy fender,before the next teardrop falls,39.496
1966,the yardbirds,shapes of things,39.516
1968,the beatles,lady madonna,39.516
1987,beastie boys,you gotta fight for your right to party,39.61
1975,janis ian,at seventeen,39.615
1968,cream,white room,39.623
1967,the monkees,pleasant valley sunday,39.634
1975,helen reddy,angie baby,39.785
1975,olivia newtonjohn,please mr please,39.81
1972,bobby vinton,sealed with a kiss,39.815
1980,dan fogelberg,longer,39.823
1994,luther vandross and mariah carey,endless love,39.844
1980,little river band,cool change,39.86
1971,bobby goldsboro,watching scotty grow,39.906
1966,chris montez,the more i see you,40
1967,janis ian,societys child,40
1967,the young rascals,groovin,40
1971,freddie hart,easy loving,40
1975,queen,killer queen,40
1975,earth wind  fire,thats the way of the world,40
1992,boyz ii men,uhh ahh,40.102
1978,david gates,goodbye girl,40.12
1991,londonbeat,ive been thinking about you,40.179
1969,blood sweat  tears,spinning wheel,40.196
1974,sister janet mead,the lords prayer,40.244
1972,raspberries,go all the way,40.323
1969,zager  evans,in the year 2525,40.417
1986,miami sound machine,words get in the way,40.523
1975,barry white,youre the first the last my everything,40.625
1977,crosby stills  nash,just a song before i go,40.741
1994,richard marx,now and forever,40.741
1994,enigma,return to innocence,40.777
1975,amazing rhythm aces,third rate romance,40.796
1980,joe walsh,all night long,40.816
1972,charley pride,kiss an angel good mornin,40.876
1974,stevie wonder,living for the city,40.959
1971,ocean,put your hand in the hand,41.104
1978,joe walsh,lifes been good,41.148
1967,dionne warwick,alfie,41.176
1983,billy joel,allentown,41.262
1971,hamilton joe frank  reynolds,dont pull your love,41.317
1974,jim croce,time in a bottle,41.406
1979,chic,i want your love,41.429
1966,hermans hermits,dandy,41.52
1995,naughty by nature,feel me flow,41.558
1977,captain  tennille,muskrat love,41.6
1968,jeannie c riley,harper valley pta,41.801
1985,tears for fears,head over heels,41.827
1991,emf,unbelievable,41.848
1966,simon  garfunkel,the sound of silence,41.935
1992,arrested development,people everyday,41.935
1977,dr buzzards original savannah band,cherchez la femme,41.981
1967,bobbie gentry,ode to billie joe,41.993
1967,ed ames,my cup runneth over,42
1977,heart,barracuda,42.045
1980,anne murray,daydream believer,42.063
1977,al stewart,year of the cat,42.105
1970,tyrone davis,turn back the hands of time,42.138
1977,rod stewart,tonights the night gonna be alright,42.208
1968,classics iv,spooky,42.222
1989,milli vanilli,girl im gonna miss you,42.233
1995,vanessa williams,the sweetest days,42.282
1971,helen reddy,i dont know how to love him,42.286
1966,roger williams,born free,42.308
1988,the bangles,a hazy shade of winter,42.331
1985,whitney houston,saving all my love for you,42.373
1989,love and rockets,so alive,42.373
1996,goo goo dolls,name,42.487
1981,alabama,feels so right,42.5
1967,buffalo springfield,for what its worth,42.529
1970,the hollies,he aint heavy hes my brother,42.537
1992,marky mark and the funky bunch,wildside,42.572
1971,sammi smith,help me make it through the night,42.623
1976,steve miller band,take the money and run,42.623
1976,candi staton,young hearts run free,42.654
1969,bob seger system,ramblin gamblin man,42.771
2004,kanye west,through the wire,42.786
1966,the surfaris,wipe out,42.857
1966,ray conniff singers,somewhere my love,42.857
1977,helen reddy,youre my world,42.857
1965,the kingsmen,the jolly green giant,42.922
1968,john fred  his playboy band,judy in disguise with glasses,42.991
1975,jessi colter,im not lisa,42.991
1969,donovan,atlantis,43.137
1969,tommy james and the shondells,crimson and clover,43.333
1999,tim mcgraw,please remember me,43.333
1994,warren g,this dj,43.342
1973,the carpenters,sing,43.373
1969,henry mancini,love theme from romeo and juliet,43.382
1973,gilbert osullivan,clair,43.478
1994,crash test dummies,mmm mmm mmm mmm,43.478
1966,johnny rivers,poor side of town,43.523
1966,the lovin spoonful,daydream,43.523
1994,tim mcgraw,indian outlaw,43.534
1985,john cougar mellencamp,lonely ol night,43.558
1985,lionel richie,penny lover,43.564
1968,the supremes,love child,43.59
1978,dan hill,sometimes when we touch,43.59
1966,the vogues,five oclock world,43.605
1984,irene cara,breakdance,43.624
1965,the strangeloves,i want candy,43.651
1967,five americans,western union,43.678
1991,tara kemp,piece of my heart,43.697
1965,dickey lee,laurie strange things happen,43.75
1968,friend  lover,reach out of the darkness,43.75
1974,olivia newtonjohn,i honestly love you,43.784
1986,zz top,sleeping bag,43.796
1967,the buckinghams,mercy mercy mercy,43.86
1970,elvis presley,the wonder of you,43.878
1977,stevie wonder,i wish,43.902
1992,amy grant,i will remember you,43.902
1966,percy sledge,when a man loves a woman,43.915
1993,arrested development,mr wendal,43.919
1977,ronnie milsap,it was almost like a song,43.925
1988,taylor dayne,ill always love you,43.931
2013,ylvis,the fox what does the fox say,43.946
1981,steely dan,hey nineteen,44.099
1965,gary lewis  the playboys,save your heart for me,44.118
1984,peter schilling,major tom coming home,44.144
1998,pras michel featuring ol dirty bastard and m'ya,ghetto supastar that is what you are,44.151
1979,supertramp,the logical song,44.221
1980,carole king,one fine day,44.248
1967,frank  nancy sinatra,somethin stupid,44.253
1972,al green,lets stay together,44.361
2000,leann rimes,i need you,44.371
1971,marvin gaye,mercy mercy me the ecology,44.444
1973,helen reddy,peaceful,44.444
1992,joe public,live and learn,44.444
1986,dream academy,life in a northern town,44.512
1969,neil diamond,sweet caroline,44.604
1978,gerry rafferty,baker street,44.643
1975,john denver,im sorry,44.681
1966,sandy posey,born a woman,44.715
1981,tierra,together,44.762
1997,scarface featuring 2pac and johnny p,smile,44.828
1966,count five,psychotic reaction,44.944
1977,bread,lost without your love,44.966
1992,richard marx,hazard,44.976
1968,the animals,sky pilot,45
2009,billy currington,people are crazy,45.041
1999,will smith,miami,45.106
1980,bob seger,fire lake,45.109
1987,lou gramm,midnight blue,45.122
1973,ohio players,funky worm,45.133
2002,kenny chesney,the good stuff,45.152
1973,deep purple,smoke on the water,45.161
1978,commodores,three times a lady,45.192
1965,james brown,papas got a brand new bag,45.217
1979,al stewart,time passages,45.283
1986,force mds,tender love,45.312
